nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
김우현@,무탄다드답게 가성비가 너무 좋아요 너무이쁩니당,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
선한베르사유카고,"격식있는 자리에 입을만한 자켓이 없어서
어디서 사나 고민했거든요
일년에 몇번 안입으니 비싼건 좀 그렇고;",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
지구정복호소인,이거 물건이네요 가성비 지림 쟁여둘 가치가 충분,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
오우츠,말해뭐해 최고의 기본템 아니겠습니까?? 역시 지린성,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
연애중인터키장갑,무신사 제품 배송이 빠르고 의류도 품질이 좋아요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
lchooo,정장 처음 입기 좋아요 가성비도 좋고 추천합니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
Js제이에스,아주 좋아요 감사합니다 무탠다드 블레이저는 진리입니다ㅎㅎ,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
달형호,"무탠다드라고 해서 큰 기대하지 않았던 제품이었는데, 퀄리티나 핏에서 정말 기대 이상이었습니다. 괜히 무탠다드하는게 아니네여! 코트도 사봐야겠네요 ㅎㅎ",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
awefas,조아요 무난무난 가성비 무난무난 굿굿 조아요 무난해요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
감정적인제주핀,"경조사에 입을 블레이저 용으로 저렴하게 하나 샀습니다.
등에 실밥 좀 튀어나온게 있는데 그래도 입을만 합니다.",4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
랩이좋은핑크미니,"블레이저를 구매했는데 정말 마음에 듭니다.
핏이 너무 예쁘게 떨어져서 만족스럽습니다.
어디에나 매치하기 좋아서 자주 입을 것 같아요.",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
럭셔리한크림향수,"적당한 크기와 자연스럽고 편안한 핏이 마음에 듭니다
한여름만 빼고 입을수 있겠네요~",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
쌩얼전사,멋지고 좋습니다. 하지만 제 핏에는 조금 크네요. 정장 느낌보다는 캐쥬얼 느낌입니다.,4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
학깽,부담 없이 입기 좋고 어디에나 잘 어울려요. 세탁해도 형태가 무너지지 않아서 만족도 높아요! 친구들도 예쁘다고 해요 😄,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
아아아무투라,베이직한 디자인에 튀는곳없이 휘뚜루마뚜루 입기 좋은 기본 아이템,3.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
