nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
$upa,잘받았습니다 배송빠르고 좋아요 실물이 더 이뻐요,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
신봉동폴라포,"저렴한 가격에 좋은제품 잘 샀네요
감사합니다 올겨울 춥지 않을것같인요",5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
라이보우,입었을때 불편감은 없고 엄청따뜻해요 무난하게 입고다니기 좋아요1,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
Burningseal,아직 입을 기회가 앖었어서 보온성은 모르겠음 두껍긴한데,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
짱녕22,무탠다드 여성용은 너무 짧게나온것 같아 남성용m사이즈 구입햇습니다 사이즈감은 여자인 제게는 어깨는 조금 크지만 안에 이너를 넉넉히 입을수 있을만큼은 되었구요 보온성은 오리털 빵빵하게 들어있어서 따뜻합니다 후기에 국밥템이라고들 하셧는데 진짜 기본 국밥템으로 딱인거 같습니다 올겨울 잘 날 수 있을 것 같습니다 겨울 기본 숏패딩 찾으시는분들 이거사세요!,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
깊은리버풀포멀룩,밝은 색으로 입어보고 편하고 따뜻해서 올해도 검정으로 주문했어요 배송빨라서 좋아요,4.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
egg68,기장이 생각보단 짧네유.. 비율 좋아보여서 오히려 좋은 것 같기도해요~,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
ㅁㄴㅇㅇㄹㄹ,기장도 적당하고 전체적으로 깔끔해요 가성비좋아요,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
TRANCEॐ,겨울에 이거 하나로 보낼수 있고요 가성비 너무 좋고 따뜻하고 옷도 너무 이뻐요 잘입을께요!!!,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
넓은이태원아이템,따뜻하고 주머니 지퍼달려있어서 저는 오토바이 탈때 보온도 중요했는데 너무편리하고 따뜻합니더!!,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
순수한대구양복,세일할때 사서 덕다운임에도 가성비 좋아서 잘입을거 같습니다,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
김성준98,가격도 9만원에 이정도 퀄리티라니 무탠다드는 언제나 만족합니다 좋은 제품 많이많이 만들어주세요,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
Jowi28,"Good quality and design, fast delivery",5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
JiNPyo,좋아요 이쁘고 싼 가격에 덕다운 사서 좋네요 추천,4.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
가마가츠,"상품 불량으로 교환했고 교환은 상당히 빨랐음 단, 그냥 확인안하고 착용했다면 과연 어떻게 됐을까 하는 불안감이 생김",4.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
현실적인미국웨지,회색 색상보다 덜 빵빵한 것 같은데 여기보다 가격대비 좋은 숏패딩 없네요!,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
언짢은라임키튼힐,매장에서 입어보고 블랙사이즈가 없어서 어플로 주문했습니다 숏패딩이 필요했는데 좋아요,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
개운한노란색소품,패딩이 사이즈 잘 만들어서 잘 맞고 따뜻해서 좋았어요,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
겸손한아말피부츠,숏패딩중에 가성비가 제일 좋은거 같습니다 길이도 제 사이즈면 m가시면 맞을거 같아요,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
언짢은라임키튼힐,배송 진짜 끝내주네요 어제 오후늦게주문했는데 오늘 받았습니다 ㅋㅋ 매장에서 규매하려고했는데 블랙은 사이즈가 없어서 주문했는데 싸게 잘샀어요 !,5.0,다운 푸퍼 숏 패딩 재킷 [블랙],113890,5,12948,20000,40000
