nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
apr.ycee,엄청 가볍고 몸에 열이 많아서 두꺼운 거 피하는 편인데 딱이에용,5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
카누카누22,"사이즈가 정확하고 생각보다 보온성이 뛰어납니다.
밝은색도 추가로 구매할께요",5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
john3,지금 날씨에 입을 자켓 필요햇는데 휘뚜루 입기 좋네용,5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
백조오오,맘에 들어서 동생이랑 가족들에게 선물했는데 좋아합니다.,5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
무무무작위,"다른 분들 후기만큼 그렇게 작지는 않음

속 안에 두꺼운 맨투맨같은거 입지않는 이상 정사이즈",4.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
신선한그린앙고라,182/68인데 어깨 넓은편리라 그런지 2xl 딱맞네요,5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
춘프링,"엄청 두툼하지 않고 가벼운 패딩이라서 정말 좋아요
이너 겹쳐서 입어도 활동성 좋을것 같아요!",5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
Zaccc,경량패딩 필요하면 이걸로 장만하세여 비싼거필요없고 휘뚜루마뚜루 입기 좋음!,5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
동동동댕,클 줄 알았는데 사이즈가 딱 저스트합니다 엄청 따뜻해보이진 않는데 요즘 날씨에 입기에는 가성비가 좋아보입니다,4.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
브라키오사우르스맘,운동하고 오는데 더워죽는 줄~한겨울 빼놓고 다 입을 수 있겠어요,5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
뱅뱅코코,사진하고 색감같고 두께도 적당 ㄱ요즘같은날씨 맞춰서 잘산듯,5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
니트에 빨간국물이 묻어있어,생각보다 더 가볍고 따뜻하네요 초겨울에도 입을 수 있을듯,5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
찬스하하,겨울에 따듯하게 입을수있을거같네요 추천이요,5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
qinging,가볍고 따뜻하고 디자인도 깔끔해서 손이 자주 가네요. 세일 때 구매하면 정말 가성비 좋은 제품 같습니다.,5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
임뿔란트,"큰애가 경량은 안입더니
이번에는 본인이찾던 디자인이라고해서
구매했는데 생각보다 디자인도이쁘고",5.0,코어 패딩 자켓 (6colors),89890,10,8200,80000,20000
