nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
정글햄스터,"입었을 때 핏이 예쁘고 무난하게 입기 좋을 것 같아요!! 
근데 먼지가 조금 잘 붙습니당ㅠㅠ
한번 입고 외출했는데 사진만큼 먼지 붙음ㅎㅠ",5.0,우먼즈 오버사이즈 블레이저 [블랙],79690,5,12556,50000,40000
은은한합정옷장,"믿고 사는 무신사스탠다드 자켓입니다
마감이 매우 좋고 이가격에 살수있다니 놀랍습니다
어깨가 있어서 오버사이즈보단 정핏 느낌 나는데",5.0,우먼즈 오버사이즈 블레이저 [블랙],79690,5,12556,50000,40000
jihyuunn,급하게 필요했는데 빠른 배송 덕분에 잘입었어용 갓성비 입니더,5.0,우먼즈 오버사이즈 블레이저 [블랙],79690,5,12556,50000,40000
오래된유럽후드,"오버사이즈 핏이여서 클래식한 사이즈의 블랙 자켓을 구입하고자 사이즈 다운해서 구매했습니다! 정55 사이즈 입는데, xs 입으니 클래식한 핏이 나와서 좋아요",5.0,우먼즈 오버사이즈 블레이저 [블랙],79690,5,12556,50000,40000
윤깨비깨비,"두껍진 않지만 아주 얇지도 않아서 10월부터 지금까지 아주 잘 입고 있어요. 제가 원하던 핏이라 맘에 들고 기장감도 아주 적당해요. 웬만한 체형은 S 무난하게 맞으실것 같아요.
에이블리에서 4~9만원대 검정 블레이저 수십개 상품 둘러보다가 무신사 스탠다드 제품 구입했는데 다음부터 기본아이템은 무신사 스탠다드 제품부터 일단 살펴보려",5.0,우먼즈 오버사이즈 블레이저 [블랙],79690,5,12556,50000,40000
갱리망고,"깔끔하고 사이즈 세미오버로 잘 맞아요
세트로 싸게 살 수 있어서 좋음",5.0,우먼즈 오버사이즈 블레이저 [블랙],79690,5,12556,50000,40000
울윤쭌,소매가 조금 길지만 기본 디자인이라 마음에 듭니다.,5.0,우먼즈 오버사이즈 블레이저 [블랙],79690,5,12556,50000,40000
웨유우째유,제가 이런 단정한 옷이 없어서 결혼식이나 공식적인 자리 참석할때 고민이 많았는데 세일할때 싸게주고 사서 넘 좋아요ㅠ 완존 득템함,5.0,우먼즈 오버사이즈 블레이저 [블랙],79690,5,12556,50000,40000
NY1013,"블레이저가 없어서 무난하게 어디든 입을 수 있는걸로 구매했어요
너무 부해보이지도 않고 깔끔하니 딱 좋아요!",5.0,우먼즈 오버사이즈 블레이저 [블랙],79690,5,12556,50000,40000
랩이좋은제주쇼룸,"기본아이템 자켓 데일리 착용 좋아요.
간절기에 입기 좋은 두께 입니다",5.0,우먼즈 오버사이즈 블레이저 [블랙],79690,5,12556,50000,40000
이머하,손목 스냅부분이 일체형이라 조금 아쉽긴 해도 예뻐요,5.0,우먼즈 오버사이즈 블레이저 [블랙],79690,5,12556,50000,40000
