nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
신중한세종스니커,"사이즈 좋고 퀄리티도 만족입니다
무신사 바지랑 셋업으로 입기에도 딱 좋습니다",5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
accid,"이 가격에 이정도 상품성이면 흠잡을 데가 없는 것 같네요 항상 믿고 애용하는 무탠다드입니다

슬랙스, 청바지 등등 대부분 코디하기가 수월하고 경조사에도 활용할 수 있어서 좋네요 잘 입겠습니다!",5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
감각적인점퍼,"배송이 빠르고 옷도 괜찮아요
편하게 입을수있어서 맘에 듭니다",5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
지루한검정찢청,핏이 깔끔하고 어떤 옷에도 잘 어울려요. 원단도 고급스럽고 착용감이 편해서 자주 손이 갈 거 같아요. 기본템으로 강력 추천합니다!,5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
내일은브라운마켓,급하게 블레이져 입을 일이 있어서 주문했는데 핏이 너무 이뻐요!!,5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
풍부한블루마린룩,"역시 무탠다드
이 가격에 마감좋고 핏잘맞고 완전 만족합니다",5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
맑은프라하치마,너무 좋습니다 마음에 들어요 많이 판매하세요 사장님~,5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
바지를곁들인,"20대 초중반 경조사 용으로 적합
두께가 있어서 초가을까지는 더울 수 있음",5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
레이크,배송빠르고 이가격에 구입할 수 있어서 행복합니다,5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
방귀뿡뿡이_V,"정장대용으로 바지와함께 구매했습니다
사이즈고민이 많았는데 딱 알맞게 구매했네요
추천",5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
리아땅,"면접때문에 급하게 샀는데
너무 괜찮아요 또 사용할 거 같아오",5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
유니크한세종향수,"옷이 많이 예쁩니다. 핏도 괜찮은 것 같습니다.
소재도 마음에 듭니다.",5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
대용량다우니,소재감이 좋고 가격이 저렴해서 좋은것같아요 역시 무신사에요,5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
엣지있는리버풀퍼,"아주 잘입고있습니다
가격대비 퀄리티가 마음에듭니다",5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
중이중이,레귤러핏을 원하지 않는 사람에게는 베이직한 블레이저 가성비 끝판왕,5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
훗치훗치_,블레이저 입문하기에 굉장히 좋아요 가격도 블레이저 중 저렴한 편이라 나중에 한번 더 살만함,5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
쾌활한터키피코트,"결혼식때 하객룩으로 입기에 괜찮은거 같아요
사이즈도 딱 맞게와서 좋았습니다",4.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
욱스럽다,"핏이 깔끔하고 바지랑도 원단이같아서 잘 맞아요~
깔끔합니다.",5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
나무19,"언제 어디서나 입기 편한 기본 스타일 자켓을 찾았어요~
동생이 편하고 맘에 든다고 하다고해서 뿌듯 하네요ㅎㅎ
배송도 빠르고 옷도 이쁘고 넘 맘에 드네요^^",5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
zelin,"그냥 무난히 입기 너무좋아요
출근용으로 구매햇어요",5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
몽디딩,이 가격대 원탑입니다 다음에 또 구매할거에요 좋아요!,5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
몽디딩,이가격대 원탑 무난하게 입기 좋아요 다음에 또 구매합니다,5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
asapasap,옷의 사이즈와 기장 및 핏이 잘 맞고 색감도 예쁩니다.,5.0,베이식 블레이저 [블랙],59890,25,52684,40000,170000
